id_documento,texto_extraido,categoria_calidad,razon_etiqueta,prediccion_ia
AG_NUEVO_0302,"NOMBRE DEL PROYECTO: Sistema IoT de Monitoreo de Calidad del Agua en Plantas Tratadoras. CATEGORÍA: Ciencias naturales / IoT. PROBLEMÁTICA: El vertido accidental de agua sin tratamiento adecuado daña el ecosistema acuático circundante. OBJETIVO GENERAL: Diseñar una red de monitoreo de pH, turbidez y oxígeno disuelto. STACK TECNOLÓGICO: ESP32, MQTT, InfluxDB, Grafana, Node.js.",Excelente,"Excelente planteamiento IoT, estructura de PI orientada a la sustentabilidad ecológica.",Excelente
AG_NUEVO_0204,"NOMBRE DEL PROYECTO: Sistema de Firma de Contratos Inmobiliarios Inteligentes en Blockchain. CATEGORÍA: Ciberseguridad. PROBLEMÁTICA: Fraude y alteración de firmas en contratos de arrendamiento físicos. OBJETIVO GENERAL: Desarrollar API para firmas digitales de contratos y registro inmutable en Ethereum. STACK TECNOLÓGICO: Solidity, Ethereum, React, Node.js, Web3.js.",Excelente,"Estructura excelente enfocada en ciberseguridad, blockchain e integridad de transacciones.",Excelente
AG_NUEVO_0910,"REPORTE DE ESTADÍA: Optimización de Almacén mediante Lectores de Códigos de Barras en Bodega Femsa. PROBLEMÁTICA: Errores en la entrega de refacciones debido a confusión de códigos visuales similares de marcas distintas. OBJETIVO GENERAL: Desarrollar módulo de escaneo móvil para confirmación de empaques. TECNOLOGÍAS: Android, Kotlin, ZXing, Spring Boot, MySQL.",Excelente,Reporte de estadía con claro beneficio operativo y stack móvil nativo.,Excelente
AG_NUEVO_0679,Chatbot de soporte escolar if-else en Python. Responde dudas sobre reinscripciones con reglas rígidas de condicionales en consola.,Regular,Lógica condicional dura simple en lugar de IA avanzada.,Regular
AG_NUEVO_0864,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en la red de Cinépolis. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de peticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_0828,Chatbot de preguntas frecuentes estudiantiles. Responde dudas básicas escolares mediante un script simple de Python con condicionales rígidos.,Regular,Lógica condicional elemental en lugar de procesamiento de lenguaje natural real.,Regular
AG_NUEVO_0269,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en el Portal Logístico. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de peticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_002,"NOMBRE DEL PROYECTO: Sistema Descentralizado para la Gestión y Validación de Certificaciones Académicas. JUSTIFICACIÓN: La falsificación de documentos y diplomas profesionales es un problema creciente que daña la reputación institucional. ALCANCE: Firma digital y registro seguro de certificados universitarios en la blockchain pública de Ethereum, permitiendo la verificación instantánea por terceros sin intermediarios. STACK TECNOLÓGICO: Solidity, Smart Contracts, Ethereum, React.js, Web3.js, IPFS.",Excelente,"Formato alternativo de propuesta excelente, resolviendo una problemática real mediante blockchain y Web3.",Excelente
AG_NUEVO_0807,"REPORTE DE ESTANCIA: Reingeniería del Pipeline de Integración Continua en la Nube para Santander. INTRODUCCIÓN: La estadía se realizó en el área de infraestructura de TI. PROBLEMÁTICA: Los despliegues del core bancario requieren aprobaciones manuales de 3 coordinadores, tomando hasta 4 horas por sprint. OBJETIVO GENERAL: Implementar pipelines automatizados de despliegue a producción con Jenkins y Kubernetes. TECNOLOGÍAS: Jenkins, Docker, Kubernetes, AWS, SonarQube.",Excelente,Reporte de estancia empresarial de ciberseguridad y DevOps con alto impacto corporativo.,Excelente
AG_NUEVO_0777,Página web de portafolio para un fotógrafo local en HTML y CSS. Muestra la galería de fotos del fotógrafo y permite mandar un mensaje de contacto básico.,Regular,"Sitio web promocional estático de baja complejidad, sin backend.",Regular
AG_NUEVO_1074,Página de recomendaciones de películas favoritas con React. Haremos una web para mostrar las carteleras populares consumiendo una API de cine pública.,Regular,Alcance muy reducido que depende de APIs públicas y almacenamiento simple en el navegador.,Regular
AG_NUEVO_1071,Página web de agenda de citas de dentista local con React. Guarda la lista de pacientes en LocalStorage y no tiene base de datos persistente en el servidor.,Regular,Aplicación transaccional web de baja complejidad y sin backend.,Regular
AG_NUEVO_0966,"NOMBRE DEL PROYECTO: Sistema IoT de Mapeo de Radiación Solar para Planificación de Paneles. CATEGORÍA: IoT. PROBLEMÁTICA: Los paneles solares domésticos se instalan en zonas de sombra parcial debido a la falta de mediciones previas de irradiancia. OBJETIVO GENERAL: Crear un sensor autónomo solar que registre lecturas durante 30 días. STACK TECNOLÓGICO: ESP32, Sensores fotoeléctricos, MQTT, InfluxDB.",Excelente,Propuesta excelente enfocada a telemetría de radiación y energías alternativas.,Excelente
AG_NUEVO_021,"Página web para la panadería del centro de la ciudad. El objetivo es vender pan en línea de forma sencilla. El usuario entra, ve el pan disponible en el menú, lo agrega al carrito y envía su pedido. Vamos a programarlo usando HTML, CSS, JavaScript y PHP básico para enviar los correos de confirmación.",Regular,"Propuesta regular. Es viable y describe software, pero carece de rigor, arquitectura moderna u objetivos específicos.",Regular
AG_NUEVO_014,"NOMBRE DEL PROYECTO: Sistema Automatizado de Estacionamiento basado en Edge OCR. JUSTIFICACIÓN: Los sistemas de cobro con boletos físicos generan basura y largas colas de salida. ALCANCE: Leer placas vehiculares en la entrada y salida de forma automática y enviar el cobro de manera digital a la tarjeta del usuario. STACK TECNOLÓGICO: Python, OpenCV, EasyOCR, Node.js, MongoDB, React Native.",Excelente,Aplicación clara de OCR y visión artificial para la modernización de servicios urbanos.,Excelente
AG_NUEVO_0362,"REPORTE DE ESTANCIA: Reingeniería del Pipeline de Integración Continua en la Pasarela de Pago de Banamex. INTRODUCCIÓN: La estadía se realizó en el área de infraestructura de TI. PROBLEMÁTICA: Los despliegues del e-commerce requieren aprobaciones manuales de 3 coordinadores, tomando hasta 4 horas por sprint. OBJETIVO GENERAL: Implementar pipelines automatizados de despliegue a producción con Jenkins y Kubernetes. TECNOLOGÍAS: Jenkins, Docker, Kubernetes, AWS, SonarQube.",Excelente,Reporte de estancia empresarial de ciberseguridad y DevOps con alto impacto corporativo.,Excelente
AG_NUEVO_0205,"NOMBRE DEL PROYECTO: Algoritmo de Enrutamiento Óptimo de Ambulancias basado en Tránsito de Google Maps. CATEGORÍA: Logística / IA. PROBLEMÁTICA: Los retrasos en traslados de emergencias médicas por embotellamientos vehiculares. OBJETIVO GENERAL: Diseñar motor de ruteo en tiempo real usando algoritmo A* modificado. STACK TECNOLÓGICO: Python, Google Maps API, FastAPI, PostgreSQL.",Excelente,Estructura formal de Proyecto Integrador combinando algoritmia y servicios de geolocalización.,Excelente
AG_NUEVO_0973,Sistema de reservas de mesa en restaurante local. El cliente puede ver qué mesas están ocupadas y apartar una escribiendo sus datos. Django y SQLite.,Regular,CRUD transaccional básico sin alta concurrencia ni integraciones de pago.,Regular
AG_NUEVO_0856,"MEMORIA DE ESTADÍA: Integración de Módulo de Facturación CFDI 4.0 en la empresa Chedraui. INTRODUCCIÓN: Proyecto para adaptar los cobros comerciales a la normativa fiscal del SAT. PROBLEMÁTICA: El cálculo manual de retenciones causaba multas recurrentes de Hacienda. OBJETIVO: Automatizar la emisión de facturas XML timbradas por el PAC. TECNOLOGÍAS: C#, ASP.NET, SQL Server, PAC API.",Excelente,Estructura formal de estadía que atiende requerimientos fiscales reales de alta prioridad.,Excelente
AG_NUEVO_155,"NOMBRE DEL PROYECTO: Optimización del Ruteo de Autobuses Escolares mediante Algoritmos de Grafos. CATEGORÍA: Logística / IA. PROBLEMÁTICA: Las rutas mal diseñadas incrementan los tiempos de traslado de los alumnos en un 30%. OBJETIVO GENERAL: Diseñar un motor de rutas óptimas basado en el algoritmo de Dijkstra y restricciones de tráfico. STACK TECNOLÓGICO: Python, NetworkX, Google Maps API, FastAPI.",Excelente,Estructura formal de Proyecto Integrador combinando algoritmia y servicios de geolocalización.,Excelente
AG_NUEVO_174,"Página web de noticias de espectáculos y cine. Haremos una base de datos para registrar artículos, poner imágenes y dejar que la gente deje comentarios en la parte de abajo. El proyecto usará Node.js, Express y MySQL local para guardar las notas del blog.",Regular,"Blog de información típico con base de datos básica, sin alta concurrencia ni innovación técnica.",Regular
AG_NUEVO_0322,"App de notas con Flutter y SQLite, funcionalidades básicas de CRUD. La aplicación sirve para que los usuarios puedan escribir sus pendientes para el día y borrarlos cuando los completen.",Regular,"CRUD básico de nivel inicial, muy común en semestres introductorios de móviles.",Regular
AG_NUEVO_0854,"PROYECTO DE TI: Portal de Firmas de Recetas Médicas Digitales con Criptografía ECDSA. CATEGORÍA: Ciberseguridad / Salud. PROBLEMÁTICA: Falsificación de recetas para medicamentos controlados en farmacias de autoservicio. OBJETIVO GENERAL: Desarrollar una API para firmas criptográficas de actas digitales de la escuela. STACK: Go, OpenSSL, PostgreSQL, React, Docker.",Excelente,"Estructura excelente orientada en ciberseguridad, llaves públicas e integridad de datos.",Excelente
AG_NUEVO_0316,"MEMORIA DE ESTADÍA: Automatización de Conciliación Bancaria para la fintech Clip. INTRODUCCIÓN: El departamento de finanzas de la empresa realiza la descarga y cotejo de estados de cuenta de forma manual diariamente. PROBLEMÁTICA: Riesgo de errores contables humanos y consumo de 3 horas diarias del personal. OBJETIVO GENERAL: Implementar scripts ETL automáticos que descarguen y crucen reportes bancarios. TECNOLOGÍAS: Python, Pandas, AWS Lambda, PostgreSQL.",Excelente,Memoria de estadía automatizando procesos financieros reales mediante ciencia de datos.,Excelente
AG_NUEVO_0775,Control de asistencia de gimnasio local. El recepcionista registra las entradas y salidas de los clientes manualmente. Desarrollado en PHP clásico.,Regular,"CRUD clásico de asistencia, de baja complejidad técnica.",Regular
AG_NUEVO_0317,"REPORTE DE ESTANCIA: Monitoreo de Servidores Críticos mediante Prometheus y Grafana en Telmex. PROBLEMÁTICA: La caída inesperada de servidores VPS de clientes corporativos sin alertas previas al área de soporte técnico. OBJETIVO GENERAL: Configurar agentes node-exporter en 50 servidores físicos y configurar dashboards con alertas de uso de CPU y RAM a Telegram. TECNOLOGÍAS: Prometheus, Grafana, Telegram API, Linux, Bash.",Excelente,"Estadía técnica de infraestructura, alertas automatizadas y monitoreo de sistemas de red.",Excelente
AG_NUEVO_169,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en la Red de Tiendas OXXO. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de peticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_102,"Página web de foro escolar para compartir memes del salón. El objetivo es que los alumnos de la carrera puedan subir imágenes graciosas del semestre y comentar las publicaciones de sus compañeros de grupo. Usaremos PHP, HTML y MySQL local en el servidor de la escuela.",Regular,"Redacción informal y objetivos triviales (compartir memes), sin rigor académico ni justificación ingenieril seria.",Regular
AG_NUEVO_0676,Control de gastos diarios en consola Python. Guarda tus consumos y los guarda localmente en un archivo de texto plano en la computadora.,Regular,"CRUD sencillo que depende de consola local, carece de interfaz web.",Regular
AG_NUEVO_1055,"PROPUESTA DE SOFTWARE: Sistema de Rutas Óptimas para Camiones Recolectores de Basura. CATEGORÍA: Logística / IA. PROBLEMÁTICA: Elevado gasto en diésel y tiempos de servicio excesivos en camiones de basura municipales. OBJETIVO GENERAL: Diseñar un motor de rutas óptimas basado en el algoritmo A* y condiciones de tráfico. STACK: Python, NetworkX, Google Maps API, FastAPI.",Excelente,Estructura formal de Proyecto Integrador combinando algoritmia y servicios de geolocalización.,Excelente
AG_NUEVO_1114,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en la red de Cinépolis. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de peticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_0969,"NOMBRE DEL PROYECTO: Firma y Validación de Calificaciones Escolares mediante Criptografía ECDSA. CATEGORÍA: Ciberseguridad. PROBLEMÁTICA: La manipulación fraudulenta de bases de datos centrales de calificaciones. OBJETIVO GENERAL: Desarrollar una API para firmas criptográficas de actas digitales de la escuela. STACK TECNOLÓGICO: Go, OpenSSL, PostgreSQL, React, Docker.",Excelente,"Estructura excelente orientada en ciberseguridad, llaves públicas e integridad de datos.",Excelente
AG_NUEVO_0960,"REPORTE DE ESTADÍA: Optimización de Almacén mediante Lectores de Códigos de Barras en Hospital General. PROBLEMÁTICA: Errores en la entrega de refacciones debido a confusión de códigos visuales similares de marcas distintas. OBJETIVO GENERAL: Desarrollar módulo de escaneo móvil para confirmación de empaques. TECNOLOGÍAS: Android, Kotlin, ZXing, Spring Boot, MySQL.",Excelente,Reporte de estadía con claro beneficio operativo y stack móvil nativo.,Excelente
AG_NUEVO_0452,"NOMBRE DEL PROYECTO: Monitoreo Satelital de Incendios Forestales con Sentinel-2 y PyTorch. CATEGORÍA: Ciencias naturales / IA. PROBLEMÁTICA: La detección tardía de focos de calor destruye miles de hectáreas de bosque protegido anualmente. OBJETIVO GENERAL: Entrenar una red neuronal convolucional para clasificar firmas térmicas satelitales. STACK TECNOLÓGICO: Python, PyTorch, Sentinel Hub API, PostgreSQL.",Excelente,Excelente propuesta de IA de visión aérea aplicada a la prevención de desastres naturales.,Excelente
AG_NUEVO_0677,"Página web promocional para barbería local. Permite mostrar cortes comunes, ubicación de la barbería y enviar mensaje por WhatsApp.",Regular,Sitio web promocional estático de baja complejidad.,Regular
AG_NUEVO_1054,"PROYECTO DE TI: API de Firmas de Contratos de Arrendamiento con Criptografía ECDSA. CATEGORÍA: Ciberseguridad. PROBLEMÁTICA: La alteración y falsificación de firmas en contratos físicos de arrendamiento inmobiliario. OBJETIVO GENERAL: Desarrollar una API para firmas criptográficas de actas digitales de la escuela. STACK: Go, OpenSSL, PostgreSQL, React, Docker.",Excelente,"Estructura excelente orientada en ciberseguridad, llaves públicas e integridad de datos.",Excelente
AG_NUEVO_0562,"REPORTE DE ESTANCIA: Reingeniería del Pipeline de Integración Continua en la Nube para Mercado Pago. INTRODUCCIÓN: La estadía se realizó en el área de infraestructura de TI. PROBLEMÁTICA: Los despliegues del core bancario requieren aprobaciones manuales de 3 coordinadores, tomando hasta 4 horas por sprint. OBJETIVO GENERAL: Implementar pipelines automatizados de despliegue a producción con Jenkins y Kubernetes. TECNOLOGÍAS: Jenkins, Docker, Kubernetes, AWS, SonarQube.",Excelente,Reporte de estancia empresarial de ciberseguridad y DevOps con alto impacto corporativo.,Excelente
AG_NUEVO_099,"Registro de visitas para un museo pequeño. Haremos una pantalla web para que el recepcionista anote el nombre del visitante, su edad y de qué ciudad viene, para tener estadísticas sencillas en una tabla de MySQL. El stack será Node.js con Express básico.",Regular,"CRUD de entrada-salida muy rudimentario, útil pero carente de metodologías de desarrollo formales.",Regular
AG_NUEVO_164,"MEMORIA DE ESTADÍA: Sistema de Control de Calidad bajo la norma ISO 9001 en Maquiladora Flex. INTRODUCCIÓN: Proyecto enfocado en auditar la tasa de rechazos de componentes electrónicos en ensamblaje. PROBLEMÁTICA: Los registros de piezas fallidas se anotan en papel, impidiendo análisis de causa raíz. OBJETIVOS: Crear una web para registrar defectos y graficar diagramas de Pareto automáticamente. TECNOLOGÍAS: Python, Django, SQLite, Chart.js.",Excelente,Proyecto de estadía que une gestión de calidad industrial con desarrollo de software.,Excelente
AG_NUEVO_1066,"NOMBRE DEL PROYECTO: Sistema IoT de Mapeo de Radiación Solar para Planificación de Paneles. CATEGORÍA: IoT. PROBLEMÁTICA: Los paneles solares domésticos se instalan en zonas de sombra parcial debido a la falta de mediciones previas de irradiancia. OBJETIVO GENERAL: Crear un sensor autónomo solar que registre lecturas durante 30 días. STACK TECNOLÓGICO: ESP32, Sensores fotoeléctricos, MQTT, InfluxDB.",Excelente,Propuesta excelente enfocada a telemetría de radiación y energías alternativas.,Excelente
AG_NUEVO_0566,"MEMORIA DE ESTADÍA: Automatización de Conciliación Bancaria para la firma PwC México. INTRODUCCIÓN: El departamento de finanzas de la empresa realiza la descarga y cotejo de estados de cuenta de forma manual diariamente. PROBLEMÁTICA: Riesgo de errores contables humanos y consumo de 3 horas diarias del personal. OBJETIVO GENERAL: Implementar scripts ETL automáticos que descarguen y crucen reportes bancarios. TECNOLOGÍAS: Python, Pandas, AWS Lambda, PostgreSQL.",Excelente,Memoria de estadía automatizando procesos financieros reales mediante ciencia de datos.,Excelente
AG_NUEVO_0420,"MEMORIA DE ESTADÍA: Hardening y Auditoría de Seguridad en Servidores para Pemex. INTRODUCCIÓN: Proyecto enfocado en asegurar la infraestructura web del e-commerce. PROBLEMÁTICA: Detección de intentos constantes de fuerza bruta SSH y puertos inseguros abiertos. OBJETIVO GENERAL: Cerrar vulnerabilidades del SO y configurar Fail2Ban y firewalls locales. TECNOLOGÍAS: Linux, Fail2Ban, Iptables, Nmap, Nessus.",Excelente,Memoria de ciberseguridad aplicada al aseguramiento de servidores web corporativos.,Excelente
AG_NUEVO_0760,"REPORTE DE ESTANCIA: Optimización de Almacén mediante Lectores de Códigos de Barras en Refaccionaria del Centro. PROBLEMÁTICA: Errores en la entrega de refacciones debido a confusión de códigos visuales similares de marcas distintas. OBJETIVO GENERAL: Desarrollar módulo de escaneo móvil para confirmación de empaques. TECNOLOGÍAS: Android, Kotlin, ZXing, Spring Boot, MySQL.",Excelente,Reporte de estadía con claro beneficio operativo y stack móvil nativo.,Excelente
AG_NUEVO_0268,"MEMORIA DE ESTADÍA: Portal de Autoservicio para Empleados de Soriana México. INTRODUCCIÓN: Se realizó el proyecto para la gerencia de Recursos Humanos. PROBLEMÁTICA: Los trabajadores solicitan copias de recibos de nómina de forma física en ventanilla, saturando la oficina. OBJETIVO GENERAL: Desarrollar una app web móvil responsiva donde los empleados descarguen sus recibos en formato PDF. TECNOLOGÍAS: Laravel, MySQL, Bootstrap, PDF generator.",Excelente,Proyecto corporativo de estadía con un caso de uso real de administración de personal.,Excelente
AG_NUEVO_0753,"ANTEPROYECTO INTEGRADOR: Portal de Reducción del Desperdicio de Alimentos Locales (SmartFood). PROBLEMÁTICA: Toneladas de comida en buen estado de restaurantes medianos se tiran diariamente por falta de canales rápidos de donación. OBJETIVO GENERAL: Construir portal de ofertas flash geolocalizadas. STACK: React, Node.js, Express, MongoDB, Google Maps API.",Excelente,Proyecto web completo transaccional con geolocalización e impacto social real.,Excelente
AG_NUEVO_0329,Chatbot básico para preguntas frecuentes de alumnos en Python. Haremos un programa en Python con if/else sencillos que reciba las dudas de inscripción (como fechas y costos).,Regular,Proyecto escolar extremadamente simple que usa lógica condicional rígida.,Regular
AG_NUEVO_0672,Aplicación de tareas diarias con alarmas en Flutter. Sirve para recordar tus pendientes escolares del día. Guarda todo en local.,Regular,"CRUD básico de nivel inicial, muy común en semestres introductorios.",Regular
AG_NUEVO_1126,Página web de portafolio para un fotógrafo en HTML y CSS. Muestra la galería de fotos y tiene un formulario de contacto por correo electrónico.,Regular,"Sitio web mayormente estático para portafolio personal, baja complejidad.",Regular
AG_NUEVO_0764,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en la red de tiendas OXXO. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de peticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_0727,Registro de calificaciones en PHP puro sin frameworks. Los profesores suben las notas y los alumnos ingresan con su matrícula para verlas.,Regular,"CRUD clásico de calificaciones escolares, de baja complejidad técnica.",Regular
AG_NUEVO_0313,"MEMORIA DE ESTADÍA PROFESIONAL: Migración de Base de Datos Legacy a AWS RDS para la empresa Distribuidora Express. INTRODUCCIÓN: La empresa logística opera con un servidor físico vulnerable a apagones. PROBLEMÁTICA: Pérdida constante de datos de inventario y lentitud en reportes de ventas. OBJETIVO GENERAL: Migrar base de datos SQL local a Amazon RDS en Alta Disponibilidad (Multi-AZ). TECNOLOGÍAS: AWS RDS, PostgreSQL, DBeaver, Linux.",Excelente,"Estructura corporativa de estadía, con justificación de infraestructura cloud robusta.",Excelente
AG_NUEVO_0278,Control de asistencia estudiantil en PHP sin usar base de datos. El profesor registra si el alumno asistió escribiendo la información en archivos de texto planos (.txt) guardados localmente en el servidor.,Regular,Propuesta muy clásica y rudimentaria. El uso de archivos de texto en lugar de base de datos denota limitaciones.,Regular
AG_NUEVO_0272,"Aplicación móvil de lista de pendientes y alarma para escuela. Sirve para que las personas escriban sus tareas en el celular y guarde la información localmente en SQLite, sin base remota.",Regular,"CRUD básico de nivel inicial, muy común en semestres introductorios de móviles.",Regular
AG_NUEVO_0752,"NOMBRE DE LA PROPUESTA: Clasificación de Anomalías en Soldaduras Industriales mediante Imágenes de Ultrasonido. CATEGORÍA: Ciencias de la Tierra / IA. PROBLEMÁTICA: Fisuras internas invisibles al ojo humano en tuberías de gas a presión provocan incidentes industriales. OBJETIVO: Entrenar una red YOLOv8 para segmentar imágenes ecográficas. TECNOLOGÍAS: Python, OpenCV, YOLOv8, PyTorch, PySide6.",Excelente,Propuesta excelente de visión computacional aplicada al control de calidad en soldaduras.,Excelente
AG_NUEVO_1120,"NOMBRE DEL PROYECTO: Extracción y Clasificación de Cláusulas de No Competencia en Contratos con NLP. CATEGORÍA: Inteligencia Artificial / Legal. PROBLEMÁTICA: Las empresas revisan cientos de contratos buscando cláusulas abusivas de no competencia de forma manual. OBJETIVO GENERAL: Implementar un modelo de lenguaje (BERT) para extraer cláusulas de penalización. STACK TECNOLÓGICO: Python, HuggingFace, FastAPI, React.",Excelente,Propuesta de NLP aplicada al análisis documental legal de forma avanzada.,Excelente
AG_NUEVO_0774,Página de recomendaciones de películas favoritas con React. Haremos una web para mostrar las carteleras populares consumiendo una API de cine pública.,Regular,Alcance muy reducido que depende de APIs públicas y almacenamiento simple en el navegador.,Regular
AG_NUEVO_0519,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en la red de Cinépolis. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de pticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_0551,"NOMBRE DEL PROYECTO: Sistema IoT de Monitoreo de Concentración de Gas Metano en Rellenos Sanitarios. CATEGORÍA: Smart Cities / IoT. PROBLEMÁTICA: La acumulación invisible de biogás en rellenos de basura representa riesgo de incendio espontáneo. OBJETIVO GENERAL: Diseñar nodos de telemetría de gas metano con transmisión LoRaWAN. STACK TECNOLÓGICO: ESP32, Sensor MQ-4, LoRaWAN, PostgreSQL, InfluxDB, Grafana.",Excelente,Proyecto Integrador excelente con diseño IoT completo y análisis de gases en Smart Cities.,Excelente
AG_NUEVO_0714,"NOMBRE DEL PROYECTO: Firma Criptográfica de Actas Escolares mediante ECDSA. CATEGORÍA: Ciberseguridad. PROBLEMÁTICA: Alteración fraudulenta de historiales académicos por accesos indebidos de bases de datos centrales. OBJETIVO GENERAL: Validar calificaciones estudiantiles usando firmas criptográficas Solidity. STACK TECNOLÓGICO: Solidity, Ethereum, React, Node.js.",Excelente,"Estructura excelente orientada en ciberseguridad, llaves públicas e integridad de datos escolares.",Excelente
AG_NUEVO_0275,Calculadora de calorías diarias con diseño plano. Haremos una aplicación web sencilla donde los usuarios metan sus alimentos y la página les diga sus calorías. Usaremos JavaScript del lado del cliente.,Regular,"Herramienta elemental con lógica puramente aritmética, no es un proyecto integrador formal.",Regular
AG_NUEVO_0655,"PROPUESTA DE SOFTWARE: Algoritmo de Enrutamiento Dinámico de Ambulancias basado en Tránsito. PROBLEMÁTICA: Retrasos críticos en emergencias médicas por embotellamientos viales urbanos. OBJETIVO: Implementar un motor de búsqueda de caminos óptimos usando A* con API de tránsito. STACK: Python, NetworkX, Google Maps API, FastAPI, PostgreSQL.",Excelente,Estructura de PI formal combinando algoritmia y servicios de geolocalización.,Excelente
AG_NUEVO_0758,"MEMORIA DE ESTADÍA PROFESIONAL: Migración de SQL Server a PostgreSQL para la empresa DHL México. INTRODUCCIÓN: La empresa logística opera con un servidor físico vulnerable a apagones. PROBLEMÁTICA: Pérdida constante de datos de inventario y lentitud en reportes de ventas. OBJETIVO GENERAL: Migrar base de datos SQL local a Amazon RDS en Alta Disponibilidad (Multi-AZ). TECNOLOGÍAS: AWS RDS, PostgreSQL, DBeaver, Linux.",Excelente,"Estructura corporativa de estadía, con justificación de infraestructura cloud robusta.",Excelente
